,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
49,<a href=https://cryptocompare.com/coins/theta/overview>THETA</a>,<a href=https://cryptocompare.com/coins/theta/overview>Theta</a>,6.69,<p class=red>-0.41%</p>,<p class=green>+0.15%</p>,"189,320,754.0","6,687,044,125.0","1,000,000,000.0",2021-11-30 21:41:54
50,<a href=https://cryptocompare.com/coins/okb/overview>OKB</a>,<a href=https://cryptocompare.com/coins/okb/overview>Okex</a>,24.15,<p class=red>-0.17%</p>,<p class=red>-2.05%</p>,"399,496,051.0","6,402,756,223.0","265,115,438.0",2021-11-30 21:41:57
51,<a href=https://cryptocompare.com/coins/velo/overview>VELO</a>,<a href=https://cryptocompare.com/coins/velo/overview>Velo</a>,0.21,<p class=green>+0.0%</p>,<p class=green>+0.0%</p>,"592,364.0","6,443,999,997.0","29,999,999,990.0",2021-11-30 18:43:07
52,<a href=https://cryptocompare.com/coins/etc/overview>ETC</a>,<a href=https://cryptocompare.com/coins/etc/overview>Ethereum Classic</a>,48.3,<p class=red>-0.41%</p>,<p class=red>-0.33%</p>,"260,872,488.0","6,280,225,982.0","130,025,382.0",2021-11-30 21:41:59
53,<a href=https://cryptocompare.com/coins/amp/overview>AMP</a>,<a href=https://cryptocompare.com/coins/amp/overview>Amp</a>,0.06,<p class=green>+0.13%</p>,<p class=red>-4.45%</p>,"38,466,299.0","6,082,832,106.0","99,441,427,281.0",2021-11-30 21:41:50
54,<a href=https://cryptocompare.com/coins/ftm/overview>FTM</a>,<a href=https://cryptocompare.com/coins/ftm/overview>Fantom</a>,2.15,<p class=red>-1.06%</p>,<p class=red>-0.83%</p>,"352,351,508.0","5,633,024,711.0","2,615,146,105.0",2021-11-30 21:40:24
55,<a href=https://cryptocompare.com/coins/rune/overview>RUNE</a>,<a href=https://cryptocompare.com/coins/rune/overview>Thorchain</a>,11.14,<p class=red>-2.62%</p>,<p class=green>+1.74%</p>,"71,773,349.0","5,570,000,000.0","500,000,000.0",2021-11-30 21:41:51
56,<a href=https://cryptocompare.com/coins/xrd/overview>XRD</a>,<a href=https://cryptocompare.com/coins/xrd/overview>Radix</a>,0.45,<p class=red>-1.11%</p>,<p class=green>+2.83%</p>,"2,573,293.0","5,481,697,305.0","12,087,535,403.0",2021-11-30 21:35:36
57,<a href=https://cryptocompare.com/coins/1inch/overview>1INCH</a>,<a href=https://cryptocompare.com/coins/1inch/overview>1inch</a>,3.58,<p class=red>-1.05%</p>,<p class=red>-3.84%</p>,"65,943,313.0","5,377,500,000.0","1,500,000,000.0",2021-11-30 21:41:53
58,<a href=https://cryptocompare.com/coins/celo/overview>CELO</a>,<a href=https://cryptocompare.com/coins/celo/overview>Celo</a>,5.13,<p class=red>-0.41%</p>,<p class=green>+1.38%</p>,"46,381,559.0","5,129,000,000.0","1,000,000,000.0",2021-11-30 21:41:54
59,<a href=https://cryptocompare.com/coins/near/overview>NEAR</a>,<a href=https://cryptocompare.com/coins/near/overview>Near</a>,8.75,<p class=red>-0.27%</p>,<p class=green>+3.32%</p>,"100,025,217.0","4,960,818,214.0","567,016,902.0",2021-11-30 21:41:59
60,<a href=https://cryptocompare.com/coins/rsr/overview>RSR</a>,<a href=https://cryptocompare.com/coins/rsr/overview>Reserve Rights</a>,0.05,<p class=red>-0.62%</p>,<p class=red>-3.92%</p>,"332,791,986.0","4,973,999,999.0","99,999,999,999.0",2021-11-30 21:41:24
61,<a href=https://cryptocompare.com/coins/xtz/overview>XTZ</a>,<a href=https://cryptocompare.com/coins/xtz/overview>Tezos</a>,5.51,<p class=red>-1.59%</p>,<p class=red>-0.18%</p>,"481,676,716.0","4,939,232,387.0","896,249,752.0",2021-11-30 21:42:01
62,<a href=https://cryptocompare.com/coins/hbar/overview>HBAR</a>,<a href=https://cryptocompare.com/coins/hbar/overview>Hedera Hashgraph</a>,0.35,<p class=red>-1.4%</p>,<p class=green>+1.89%</p>,"125,012,661.0","4,798,261,575.0","13,879,842,566.0",2021-11-30 21:41:41
63,<a href=https://cryptocompare.com/coins/gno/overview>GNO</a>,<a href=https://cryptocompare.com/coins/gno/overview>Gnosis</a>,467.58,<p class=red>-1.07%</p>,<p class=green>+11.96%</p>,"1,650,346.0","4,675,851,250.0","10,000,000.0",2021-11-30 21:41:56
64,<a href=https://cryptocompare.com/coins/senso/overview>SENSO</a>,<a href=https://cryptocompare.com/coins/senso/overview>SENSO</a>,2.61,<p class=red>-0.01%</p>,<p class=red>-8.34%</p>,"718,411.0","4,469,842,435.0","1,715,280,000.0",2021-11-30 21:41:54
65,<a href=https://cryptocompare.com/coins/mbox/overview>MBOX</a>,<a href=https://cryptocompare.com/coins/mbox/overview>MOBOX</a>,10.99,<p class=green>+2.97%</p>,<p class=green>+40.47%</p>,"748,233,848.0","4,276,330,274.0","388,998,421.0",2021-11-30 21:41:59
66,<a href=https://cryptocompare.com/coins/xmr/overview>XMR</a>,<a href=https://cryptocompare.com/coins/xmr/overview>Monero</a>,239.16,<p class=red>-1.49%</p>,<p class=green>+1.28%</p>,"171,630,218.0","4,314,067,970.0","18,038,417.0",2021-11-30 21:41:51
68,<a href=https://cryptocompare.com/coins/kcs/overview>KCS</a>,<a href=https://cryptocompare.com/coins/kcs/overview>KuCoin Token</a>,25.94,<p class=red>-0.97%</p>,<p class=green>+1.66%</p>,"5,874,940.0","4,412,981,114.0","170,118,638.0",2021-11-30 21:41:56
69,<a href=https://cryptocompare.com/coins/hnt/overview>HNT</a>,<a href=https://cryptocompare.com/coins/hnt/overview>Helium</a>,39.56,<p class=red>-0.45%</p>,<p class=red>-2.9%</p>,"23,756,394.0","4,214,640,440.0","106,537,928.0",2021-11-30 21:41:40
70,<a href=https://cryptocompare.com/coins/eos/overview>EOS</a>,<a href=https://cryptocompare.com/coins/eos/overview>EOS</a>,4.0,<p class=red>-0.96%</p>,<p class=red>-0.17%</p>,"349,983,507.0","4,166,761,412.0","1,040,649,703.0",2021-11-30 21:41:35
71,<a href=https://cryptocompare.com/coins/aave/overview>AAVE</a>,<a href=https://cryptocompare.com/coins/aave/overview>Aave</a>,254.72,<p class=red>-0.63%</p>,<p class=green>+2.03%</p>,"124,910,563.0","4,075,520,000.0","16,000,000.0",2021-11-30 21:42:01
72,<a href=https://cryptocompare.com/coins/mina/overview>MINA</a>,<a href=https://cryptocompare.com/coins/mina/overview>Mina Protocol</a>,4.62,<p class=green>+0.0%</p>,<p class=red>-4.54%</p>,"46,236,240.0","4,021,235,862.0","870,397,372.0",2021-11-30 20:51:57
73,<a href=https://cryptocompare.com/coins/flow/overview>FLOW</a>,<a href=https://cryptocompare.com/coins/flow/overview>Flow - Dapper Labs</a>,12.49,<p class=red>-0.4%</p>,<p class=red>-3.92%</p>,"82,432,746.0","3,926,145,743.0","314,343,134.0",2021-11-30 21:39:09
74,<a href=https://cryptocompare.com/coins/chz/overview>CHZ</a>,<a href=https://cryptocompare.com/coins/chz/overview>Chiliz</a>,0.44,<p class=red>-0.81%</p>,<p class=red>-6.51%</p>,"186,937,275.0","3,920,888,888.0","8,888,888,888.0",2021-11-30 21:41:54
